;Annotator 1;;;;;;Annotator 2;;;;;;Annotator 3;;;;;;K-Folds (10);;;;;;;;;;
rs00017.jpg;0;0;0;0;1;;0;0;0;0;0;;0;0;0;0;1;;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train;Test
rs00018.jpg;1;3;2;0;3;;0;0;0;0;0;;1;5;3;0;3;;Train;Train;Train;Test;Train;Train;Train;Train;Train;Train;Train
rs00019.jpg;0;2;1;0;0;;0;0;0;0;0;;0;3;1;0;0;;Train;Train;Train;Train;Train;Val;Test;Val;Train;Train;Test
rs00020.jpg;0;1;1;0;1;;0;0;0;0;0;;0;1;1;0;3;;Test;Train;Val;Val;Train;Train;Train;Train;Train;Val;Train
rs00021.jpg;0;0;1;0;2;;0;2;0;0;0;;0;0;3;0;2;;Train;Val;Train;Train;Test;Train;Train;Train;Train;Train;Train
rs00022.jpg;0;1;0;0;2;;1;0;0;0;0;;0;2;0;1;2;;Val;Train;Train;Train;Test;Train;Train;Train;Train;Train;Train
rs00023.jpg;0;0;0;0;2;;0;0;0;0;0;;1;0;0;0;6;;Train;Train;Train;Train;Train;Test;Train;Val;Train;Train;Test
rs00024.jpg;0;0;0;0;1;;0;0;0;0;0;;1;0;0;0;4;;Train;Train;Val;Val;Val;Val;Val;Train;Val;Test;Train
rs00025.jpg;2;0;0;8;3;;2;0;0;0;0;;1;0;0;7;1;;Train;Val;Train;Train;Train;Train;Train;Train;Train;Test;Train
rs00026.jpg;2;0;0;8;8;;1;0;0;7;8;;2;0;2;8;8;;Val;Train;Train;Train;Train;Test;Train;Train;Train;Val;Test
rs00027.jpg;0;0;1;0;2;;0;0;0;0;0;;0;2;2;0;1;;Train;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train
rs00028.jpg;0;0;1;0;1;;0;0;0;0;0;;1;2;3;0;5;;Train;Train;Test;Train;Val;Train;Val;Train;Val;Train;Train
rs00029.jpg;0;0;0;0;2;;0;0;0;0;0;;0;1;1;2;2;;Train;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train
rs00030.jpg;0;3;0;0;1;;0;0;0;0;0;;1;6;0;0;2;;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train
rs00031.jpg;2;1;0;8;9;;1;0;0;3;8;;2;2;1;7;9;;Train;Train;Train;Train;Train;Train;Train;Val;Train;Test;Test
rs00032.jpg;1;5;1;0;4;;0;0;0;0;0;;1;5;3;0;6;;Train;Test;Train;Val;Train;Train;Train;Train;Train;Train;Train
rs00033.jpg;0;0;2;0;2;;0;0;0;0;0;;1;0;2;0;3;;Train;Test;Train;Train;Train;Val;Train;Train;Train;Train;Test
rs00034.jpg;1;0;0;0;5;;1;0;0;0;0;;1;0;0;0;6;;Val;Train;Val;Test;Train;Train;Train;Train;Train;Train;Train
rs00035.jpg;0;1;1;0;2;;0;0;0;0;0;;0;1;0;0;0;;Train;Train;Train;Test;Train;Train;Train;Train;Train;Train;Train
rs00036.jpg;1;1;3;0;4;;1;4;6;0;0;;1;1;5;0;3;;Train;Val;Train;Train;Val;Train;Val;Test;Val;Val;Train
rs00037.jpg;2;0;0;0;9;;1;0;0;0;0;;1;0;1;0;4;;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train;Test
rs00038.jpg;1;1;1;2;6;;1;0;0;3;0;;1;2;3;0;6;;Train;Train;Train;Train;Train;Test;Train;Val;Train;Train;Train
rs00039.jpg;1;0;1;8;5;;1;0;0;0;8;;1;0;0;6;5;;Train;Train;Train;Train;Train;Train;Train;Test;Train;Train;Train
rs00040.jpg;1;0;0;0;5;;0;0;0;0;7;;1;2;0;0;8;;Val;Test;Val;Val;Train;Val;Train;Train;Train;Train;Val
rs00041.jpg;1;4;2;5;6;;0;0;0;0;8;;1;5;2;4;4;;Train;Train;Train;Train;Train;Train;Test;Train;Train;Train;Test
rs00042.jpg;1;0;0;7;6;;1;0;0;0;8;;1;0;0;4;6;;Train;Train;Train;Train;Val;Train;Train;Train;Val;Test;Train
rs00043.jpg;0;1;1;0;1;;0;4;0;0;0;;1;3;3;0;5;;Train;Train;Train;Train;Train;Test;Val;Val;Train;Val;Train
rs00044.jpg;1;1;1;0;5;;0;4;0;0;7;;0;3;4;1;5;;Val;Val;Val;Val;Train;Test;Train;Train;Train;Train;Train
rs00045.jpg;2;0;10;0;3;;2;0;10;0;7;;2;0;8;0;7;;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train
rs00046.jpg;0;0;0;0;5;;0;0;0;0;0;;0;2;2;0;3;;Train;Train;Train;Train;Val;Val;Train;Train;Test;Train;Train
rs00047.jpg;0;0;2;0;2;;1;4;4;0;0;;1;2;5;0;0;;Train;Train;Train;Train;Train;Train;Val;Test;Val;Val;Val
rs00048.jpg;2;0;0;5;5;;1;0;0;5;0;;2;0;0;8;5;;Train;Train;Test;Train;Train;Train;Train;Train;Train;Train;Test
rs00049.jpg;0;1;0;0;2;;0;0;0;0;0;;1;3;5;0;2;;Train;Val;Train;Train;Train;Train;Train;Train;Train;Test;Train
rs00050.jpg;2;0;0;7;7;;1;0;0;1;8;;2;0;0;7;9;;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train;Test
rs00051.jpg;0;1;0;0;2;;0;3;0;0;0;;0;2;2;0;3;;Val;Train;Train;Val;Train;Train;Train;Test;Train;Train;Test
rs00052.jpg;0;2;1;0;3;;0;2;0;0;0;;0;2;1;0;0;;Train;Train;Val;Train;Train;Test;Train;Val;Train;Train;Train
rs00053.jpg;0;0;1;0;1;;0;0;0;0;0;;0;0;2;0;1;;Val;Train;Train;Val;Val;Train;Train;Train;Test;Train;Val
rs00054.jpg;1;7;1;0;0;;1;2;0;0;0;;1;8;2;0;2;;Train;Train;Val;Test;Train;Val;Val;Val;Train;Train;Train
rs00055.jpg;2;0;2;8;8;;1;0;0;0;8;;2;0;3;8;8;;Train;Train;Train;Train;Val;Train;Train;Train;Train;Test;Val
rs00056.jpg;0;1;3;0;3;;0;0;0;0;0;;1;0;4;0;2;;Train;Val;Train;Train;Train;Val;Val;Train;Test;Val;Test
rs00057.jpg;0;2;1;0;4;;0;0;0;0;0;;0;2;3;0;2;;Train;Train;Train;Train;Test;Train;Train;Train;Val;Train;Val
rs00058.jpg;0;0;0;0;3;;0;0;0;0;0;;0;0;0;0;2;;Train;Val;Train;Train;Train;Train;Train;Test;Train;Val;Test
rs00059.jpg;0;0;0;0;2;;0;0;0;0;0;;0;2;0;0;2;;Val;Train;Train;Train;Train;Train;Test;Train;Val;Train;Val
rs00060.jpg;2;0;0;8;5;;1;0;0;3;7;;1;0;0;6;5;;Train;Test;Val;Val;Train;Train;Train;Train;Train;Train;Train
rs00061.jpg;2;7;2;5;8;;0;0;0;0;7;;2;9;3;5;8;;Train;Train;Train;Train;Test;Train;Train;Val;Train;Train;Test
rs00062.jpg;1;0;0;0;6;;1;0;0;0;0;;1;0;0;0;5;;Test;Train;Train;Train;Train;Val;Train;Train;Train;Train;Val
rs00063.jpg;0;2;2;0;1;;0;5;0;0;0;;1;5;4;1;3;;Train;Train;Train;Train;Test;Train;Val;Train;Train;Train;Train
rs00064.jpg;1;1;2;0;5;;0;0;0;0;7;;0;0;3;2;5;;Train;Train;Train;Test;Val;Train;Train;Train;Train;Val;Train
rs00065.jpg;0;0;0;0;2;;0;0;0;0;0;;0;0;0;2;0;;Val;Val;Val;Train;Train;Train;Test;Train;Val;Train;Test
rs00066.jpg;0;0;0;0;3;;0;0;0;0;0;;0;0;0;0;1;;Train;Train;Train;Val;Train;Train;Test;Val;Train;Train;Train
rs00067.jpg;0;0;0;0;3;;1;0;0;7;0;;1;0;0;7;3;;Train;Train;Train;Train;Train;Val;Train;Train;Test;Train;Train
rs00068.jpg;0;0;2;0;3;;0;0;0;0;0;;1;0;6;0;4;;Train;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train
rs00069.jpg;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;2;;Val;Train;Train;Train;Val;Train;Test;Train;Train;Val;Test
rs00070.jpg;0;1;1;0;3;;0;0;0;0;0;;1;0;4;3;6;;Train;Val;Val;Val;Train;Train;Train;Test;Train;Train;Train
rs00071.jpg;0;1;2;0;2;;0;0;0;0;0;;0;0;4;0;1;;Train;Train;Test;Train;Train;Val;Val;Val;Val;Train;Train
rs00072.jpg;1;7;3;0;6;;1;7;2;0;0;;1;7;3;0;5;;Train;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train
rs00073.jpg;1;4;2;0;3;;1;6;0;0;0;;1;4;4;0;2;;Val;Train;Train;Train;Val;Train;Train;Train;Train;Test;Test
rs00074.jpg;0;2;1;0;3;;0;0;0;0;0;;0;4;2;0;2;;Train;Val;Train;Val;Train;Train;Train;Train;Test;Val;Val
rs00075.jpg;1;6;2;0;0;;0;3;0;0;0;;1;6;3;0;4;;Train;Train;Train;Train;Train;Test;Val;Val;Train;Train;Train
rs00076.jpg;0;0;0;0;4;;0;0;0;0;0;;1;2;2;0;6;;Train;Train;Val;Test;Train;Val;Train;Train;Val;Train;Val
rs00077.jpg;2;7;1;0;6;;2;9;5;0;0;;2;9;4;0;5;;Val;Train;Train;Train;Val;Train;Train;Train;Test;Train;Train
rs00078.jpg;0;0;0;0;4;;0;0;0;0;0;;0;0;0;0;4;;Train;Val;Train;Train;Train;Train;Train;Train;Train;Test;Train
rs00079.jpg;1;1;1;0;6;;0;0;0;0;5;;1;0;2;0;5;;Train;Train;Train;Test;Train;Train;Val;Val;Train;Val;Test
rs00080.jpg;0;0;2;0;2;;1;4;5;0;0;;1;2;5;2;4;;Train;Train;Val;Val;Train;Val;Train;Test;Train;Train;Test
rs00081.jpg;1;0;0;0;6;;1;0;0;0;2;;0;0;0;0;3;;Train;Test;Train;Train;Val;Train;Train;Train;Val;Train;Train
rs00082.jpg;1;0;1;0;4;;0;0;0;0;5;;1;2;1;0;7;;Train;Train;Train;Train;Train;Test;Train;Train;Train;Train;Val
rs00083.jpg;0;2;2;0;2;;0;3;4;0;0;;1;3;4;0;2;;Val;Val;Train;Test;Train;Train;Val;Train;Train;Val;Train
rs00084.jpg;0;0;2;0;3;;0;0;0;0;0;;0;2;0;0;1;;Val;Train;Test;Train;Train;Train;Train;Train;Train;Train;Val
rs00085.jpg;1;0;0;0;6;;0;0;0;0;0;;0;0;0;0;4;;Train;Train;Train;Train;Train;Test;Train;Train;Val;Train;Val
rs00086.jpg;1;3;2;6;6;;1;7;7;5;8;;2;7;4;4;7;;Train;Train;Train;Train;Train;Test;Train;Val;Train;Train;Train
rs00087.jpg;1;0;2;0;7;;1;0;0;0;8;;2;0;3;4;7;;Train;Train;Val;Val;Test;Train;Train;Val;Train;Train;Test
rs00088.jpg;1;2;5;0;5;;1;8;7;0;0;;2;8;4;0;7;;Test;Train;Val;Val;Val;Train;Train;Train;Train;Train;Train
rs00089.jpg;1;0;0;0;3;;1;0;0;0;0;;0;0;0;0;2;;Train;Val;Train;Train;Val;Test;Val;Train;Train;Val;Val
rs00090.jpg;0;0;2;0;4;;1;0;0;0;0;;0;0;2;0;2;;Train;Val;Train;Train;Train;Test;Val;Train;Train;Val;Train
rs00091.jpg;0;0;1;0;2;;0;0;0;0;0;;0;0;0;0;3;;Train;Train;Train;Test;Train;Val;Train;Train;Val;Train;Test
rs00092.jpg;1;4;1;6;7;;0;0;0;5;7;;1;6;3;6;6;;Val;Train;Train;Train;Train;Val;Train;Train;Val;Test;Train
rs00093.jpg;1;0;1;0;6;;1;0;0;0;0;;1;0;2;0;5;;Train;Train;Train;Train;Test;Train;Train;Train;Train;Train;Test
rs00094.jpg;1;1;2;0;6;;1;8;7;0;0;;1;0;4;0;5;;Train;Train;Train;Train;Train;Train;Train;Test;Train;Train;Train
rs00095.jpg;1;1;2;6;8;;1;0;0;0;8;;2;1;2;5;7;;Train;Train;Test;Train;Train;Train;Train;Val;Train;Train;Test
rs00096.jpg;1;0;0;5;7;;0;0;0;0;6;;1;0;0;5;5;;Val;Train;Val;Val;Train;Train;Train;Train;Train;Test;Test
rs00097.jpg;0;1;1;0;3;;0;0;0;0;0;;1;3;3;0;6;;Train;Val;Train;Train;Val;Train;Val;Train;Train;Test;Val
rs00098.jpg;1;0;1;0;3;;1;7;6;0;0;;0;0;3;0;3;;Val;Train;Train;Train;Train;Test;Train;Train;Train;Train;Train
rs00099.jpg;0;1;1;0;2;;0;0;0;0;0;;0;1;0;0;0;;Train;Train;Train;Test;Train;Train;Train;Val;Val;Train;Test
rs00100.jpg;0;1;1;0;3;;0;0;0;0;0;;0;0;2;0;3;;Val;Train;Val;Train;Train;Val;Train;Train;Train;Test;Train
rs00101.jpg;0;0;0;0;0;;0;0;0;0;0;;0;0;3;0;2;;Train;Val;Train;Test;Val;Train;Val;Val;Train;Val;Test
rs00102.jpg;0;0;1;0;2;;0;0;0;0;0;;0;0;1;0;2;;Test;Train;Val;Val;Train;Train;Train;Train;Train;Train;Val
rs00103.jpg;0;0;2;0;1;;0;0;0;0;0;;0;1;2;0;0;;Train;Test;Train;Train;Val;Train;Val;Val;Val;Train;Train
rs00104.jpg;0;1;1;0;2;;0;0;0;0;0;;0;2;2;0;1;;Train;Val;Val;Val;Train;Val;Test;Train;Train;Train;Train
rs00105.jpg;0;0;0;1;4;;0;0;0;0;0;;1;0;3;3;4;;Train;Train;Train;Train;Val;Train;Train;Train;Val;Test;Val
rs00106.jpg;2;1;1;10;8;;2;0;0;6;8;;2;1;1;6;8;;Train;Val;Train;Val;Train;Val;Val;Train;Train;Test;Test
rs00107.jpg;0;0;2;0;1;;1;5;2;0;0;;0;1;2;0;0;;Val;Train;Train;Test;Train;Train;Train;Train;Val;Val;Test
rs00108.jpg;0;0;1;0;1;;0;0;0;0;0;;0;0;1;0;1;;Train;Train;Train;Train;Train;Test;Train;Train;Train;Train;Train
rs00109.jpg;1;4;2;0;3;;0;3;4;0;0;;0;2;3;0;2;;Test;Train;Train;Train;Train;Val;Train;Val;Train;Val;Train
rs00110.jpg;0;0;0;0;1;;0;0;0;0;0;;0;0;0;0;0;;Test;Train;Val;Train;Train;Train;Train;Train;Train;Train;Train
rs00111.jpg;0;0;1;0;2;;1;3;0;0;0;;0;0;1;2;2;;Train;Train;Train;Train;Test;Train;Train;Train;Train;Val;Val
rs00112.jpg;0;0;1;0;3;;0;0;0;0;0;;0;2;0;0;1;;Train;Val;Test;Train;Val;Train;Val;Train;Train;Train;Train
rs00113.jpg;1;6;2;0;4;;1;8;7;0;0;;0;7;2;0;0;;Train;Train;Test;Val;Train;Train;Train;Train;Val;Train;Train
rs00114.jpg;1;6;2;2;3;;1;8;7;0;0;;0;6;3;0;1;;Val;Train;Train;Train;Train;Train;Test;Val;Train;Train;Val
rs00115.jpg;1;0;0;0;4;;1;0;0;0;0;;0;0;1;0;2;;Train;Train;Train;Train;Train;Val;Train;Train;Test;Train;Train
rs00116.jpg;0;0;0;0;4;;0;0;0;0;0;;0;0;0;0;1;;Train;Train;Train;Train;Train;Train;Train;Test;Train;Train;Val
rs00117.jpg;1;7;2;0;6;;1;8;7;0;0;;1;7;3;0;5;;Train;Val;Val;Test;Val;Train;Train;Train;Train;Val;Train
rs00118.jpg;2;0;1;9;8;;2;0;0;8;8;;2;1;1;4;6;;Train;Test;Train;Train;Train;Train;Val;Train;Train;Train;Test
rs00119.jpg;1;0;1;0;5;;2;0;0;0;0;;1;0;0;0;3;;Train;Train;Train;Test;Train;Train;Train;Train;Val;Train;Val
rs00120.jpg;0;0;0;2;3;;1;0;0;4;3;;0;5;1;1;1;;Train;Test;Train;Val;Train;Val;Train;Train;Train;Train;Train
rs00121.jpg;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;1;;Train;Train;Test;Train;Train;Train;Train;Train;Train;Train;Test
rs00122.jpg;1;2;1;0;5;;0;0;0;0;3;;1;2;0;0;8;;Train;Train;Train;Train;Test;Train;Train;Train;Train;Val;Train
rs00123.jpg;1;0;6;0;5;;1;0;8;0;0;;1;1;5;1;7;;Train;Train;Train;Train;Test;Train;Train;Train;Train;Train;Val
rs00124.jpg;1;1;5;0;4;;1;0;7;0;0;;0;2;7;0;3;;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train;Train
rs00125.jpg;1;5;1;0;3;;0;0;7;0;0;;1;7;1;0;6;;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train
rs00126.jpg;1;6;0;0;3;;0;5;3;0;0;;0;7;2;0;2;;Train;Train;Train;Train;Train;Train;Test;Train;Train;Train;Train
rs00127.jpg;0;2;0;0;0;;0;0;0;0;0;;0;1;0;0;1;;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train;Val
rs00128.jpg;1;0;2;5;5;;0;0;0;0;0;;1;2;1;2;6;;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train;Train
rs00129.jpg;1;0;0;7;8;;2;0;0;2;7;;1;0;1;5;6;;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train;Val
rs00130.jpg;1;0;0;0;7;;1;0;0;0;0;;1;0;1;0;3;;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train;Train
rs00131.jpg;0;0;0;0;2;;0;0;0;0;6;;1;1;0;0;5;;Train;Train;Train;Test;Train;Train;Train;Train;Train;Train;Test
rs00132.jpg;1;0;0;6;5;;1;0;0;0;6;;1;0;0;4;5;;Train;Train;Train;Test;Train;Train;Train;Train;Train;Train;Test
rs00133.jpg;1;1;0;0;4;;0;0;0;0;6;;1;2;0;1;7;;Train;Train;Test;Train;Train;Train;Train;Train;Train;Train;Val
rs00134.jpg;1;1;0;5;7;;0;0;0;0;8;;1;0;0;4;6;;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train;Val
rs00135.jpg;2;1;0;9;7;;2;0;0;0;8;;2;3;0;8;9;;Train;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train
rs00136.jpg;1;0;0;6;7;;1;0;0;0;8;;2;0;0;7;9;;Train;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train
rs00137.jpg;2;3;0;8;7;;2;0;0;7;8;;2;3;0;7;8;;Train;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train
rs00138.jpg;0;0;4;0;0;;0;0;0;0;0;;0;0;5;0;1;;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train;Train
rs00139.jpg;0;3;1;0;2;;0;4;1;0;0;;0;0;0;0;1;;Train;Train;Train;Train;Train;Train;Test;Train;Train;Train;Train
rs00140.jpg;1;1;0;0;4;;0;0;0;0;0;;0;0;0;1;5;;Train;Train;Train;Test;Train;Train;Train;Train;Train;Train;Train
rs00141.jpg;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;Train;Train;Test;Train;Train;Train;Train;Val;Train;Train;Train
rs00142.jpg;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;Train;Train;Test;Train;Train;Train;Train;Train;Train;Train;Val
rs00143.jpg;2;0;8;0;0;;2;0;10;0;0;;0;0;8;0;0;;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train;Train
rs00144.jpg;0;2;1;0;1;;0;0;0;0;0;;0;2;0;0;0;;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train
rs00145.jpg;0;0;0;0;2;;0;0;0;0;0;;0;0;1;0;1;;Test;Train;Train;Train;Val;Train;Train;Train;Train;Train;Train
rs00146.jpg;0;0;0;0;3;;0;0;0;0;0;;0;0;1;0;1;;Val;Train;Train;Train;Train;Val;Val;Test;Train;Train;Train
rs00147.jpg;1;0;0;3;6;;2;0;0;7;8;;2;1;0;6;6;;Train;Train;Train;Train;Train;Train;Train;Train;Val;Test;Val
rs00148.jpg;1;0;1;7;6;;1;0;0;0;6;;1;0;2;4;7;;Train;Val;Test;Train;Train;Train;Train;Train;Train;Train;Train
rs00149.jpg;0;1;0;0;3;;0;0;0;0;0;;0;1;0;0;3;;Train;Train;Val;Test;Train;Train;Train;Train;Train;Train;Test
rs00150.jpg;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;Train;Train;Train;Val;Train;Test;Train;Train;Train;Train;Val
rs00151.jpg;1;2;2;0;3;;1;5;2;0;0;;2;1;4;0;7;;Train;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train
rs00152.jpg;1;2;4;0;2;;1;2;6;0;0;;0;0;4;0;2;;Train;Train;Train;Train;Train;Test;Train;Train;Train;Val;Train
rs00153.jpg;1;2;1;2;7;;0;0;0;0;6;;1;1;2;2;6;;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train
rs00154.jpg;0;0;0;0;3;;0;0;0;0;0;;0;0;3;0;1;;Train;Train;Train;Train;Train;Train;Train;Test;Train;Train;Val
rs00155.jpg;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;Train;Train;Train;Train;Train;Test;Train;Train;Train;Train;Train
rs00156.jpg;1;2;1;0;5;;1;2;0;0;0;;0;2;3;0;2;;Train;Train;Train;Train;Train;Train;Test;Train;Train;Train;Test
rs00157.jpg;1;5;1;0;4;;1;8;4;0;0;;1;6;2;0;6;;Train;Train;Test;Train;Train;Train;Train;Train;Train;Train;Test
rs00158.jpg;1;0;4;0;2;;1;0;0;0;0;;0;0;5;0;2;;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train;Train
rs00159.jpg;0;0;0;0;1;;0;0;0;0;0;;0;0;3;0;1;;Train;Train;Train;Train;Train;Test;Train;Train;Train;Train;Train
rs00160.jpg;1;5;1;0;1;;1;6;3;0;0;;0;5;1;0;1;;Train;Train;Train;Train;Train;Test;Train;Val;Train;Train;Train
rs00161.jpg;1;2;0;0;5;;0;0;0;0;0;;1;0;0;0;6;;Train;Train;Train;Train;Train;Train;Test;Train;Train;Train;Train
rs00162.jpg;0;0;0;0;2;;0;0;0;0;0;;0;1;0;0;1;;Train;Train;Train;Train;Val;Train;Train;Train;Train;Test;Train
rs00163.jpg;1;0;0;0;6;;0;0;0;0;0;;0;2;0;0;3;;Train;Train;Train;Train;Train;Train;Train;Test;Train;Train;Val
rs00164.jpg;0;2;0;0;0;;0;3;0;0;0;;0;0;3;0;1;;Val;Train;Train;Train;Train;Train;Train;Train;Test;Train;Train
rs00165.jpg;1;4;0;0;2;;0;0;0;0;0;;0;4;1;0;2;;Train;Train;Test;Train;Train;Train;Val;Train;Val;Train;Train
rs00166.jpg;0;2;0;0;0;;0;0;0;0;0;;0;0;1;0;0;;Train;Val;Train;Test;Train;Train;Train;Train;Train;Train;Train
rs00167.jpg;0;1;0;0;4;;0;0;0;0;0;;1;0;2;0;6;;Train;Train;Train;Train;Train;Test;Train;Train;Train;Train;Test
rs00168.jpg;0;0;0;0;1;;0;0;0;0;0;;0;0;0;0;1;;Train;Train;Val;Val;Train;Train;Train;Train;Train;Test;Test
rs00169.jpg;1;0;8;0;5;;1;0;8;0;0;;0;0;7;0;2;;Train;Train;Train;Train;Train;Val;Train;Test;Train;Train;Test
rs00170.jpg;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;Train;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train
rs00171.jpg;1;0;0;0;5;;0;0;0;0;0;;1;1;0;0;7;;Train;Train;Train;Train;Test;Train;Train;Train;Train;Train;Train
rs00172.jpg;2;0;1;10;7;;2;0;0;10;9;;2;1;4;10;8;;Train;Train;Train;Test;Train;Train;Train;Train;Train;Val;Val
rs00173.jpg;0;1;0;0;1;;1;4;2;0;0;;0;1;0;0;1;;Train;Train;Train;Train;Train;Train;Test;Train;Train;Train;Train
rs00174.jpg;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;Train;Train;Train;Train;Train;Train;Train;Test;Train;Train;Train
rs00175.jpg;0;0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;Train;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train
rs00176.jpg;0;0;0;0;2;;1;0;0;0;0;;0;0;0;0;0;;Train;Train;Train;Train;Train;Train;Test;Train;Train;Train;Test
rs00177.jpg;1;0;8;0;4;;2;0;8;0;0;;1;0;7;0;8;;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train;Test
rs00178.jpg;1;0;0;2;5;;1;0;0;0;8;;0;1;0;2;4;;Train;Train;Train;Train;Train;Train;Train;Train;Train;Test;Train
rs00179.jpg;1;2;5;0;1;;1;3;8;0;0;;0;4;5;0;0;;Train;Test;Train;Train;Train;Train;Train;Train;Train;Train;Test
rs00180.jpg;1;5;0;0;0;;0;2;0;0;0;;0;2;0;0;0;;Test;Train;Train;Train;Train;Train;Train;Train;Train;Train;Test
rs00181.jpg;0;2;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;Train;Train;Train;Train;Val;Train;Train;Test;Train;Train;Test
rs00182.jpg;0;0;0;0;3;;0;0;0;0;0;;0;0;1;0;2;;Train;Train;Train;Train;Val;Train;Train;Val;Test;Train;Train
